,Country,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score,GDP,Generosity,Year
11,Costa Rica,7.226,0.95578,0.25497,2015,7.087000000000001,1.06879,0.22553,2016,7.0789999961853,1.10970628261566,0.21461322903633104,2017,7.072,1.01,0.14300000000000002,2018,7.167000000000001,1.034,0.14400000000000002,2019,7.121399879,0.981107712,0.131266311,2020,7.069,1.1340000000000001,0.105,2021
12,Austria,7.2,1.33723,0.33088,2015,7.119,1.45038,0.32865,2016,7.00600004196167,1.4870972633361799,0.316472321748734,2017,7.138999999999999,1.341,0.242,2018,7.246,1.376,0.244,2019,7.294199944,1.317285538,0.255509764,2020,7.268,1.492,0.215,2021
13,Mexico,7.187,1.02054,0.14074,2015,6.778,1.1150799999999998,0.11735,2016,6.57800006866455,1.1531838178634601,0.12099043279886199,2017,6.4879999999999995,1.038,0.069,2018,6.595,1.07,0.07400000000000001,2019,6.465000152999999,1.024387479,0.083094485,2020,6.317,1.126,0.092,2021
14,United States,7.119,1.3945100000000001,0.40105,2015,7.104,1.50796,0.41076999999999997,2016,6.993000030517581,1.54625928401947,0.392578780651093,2017,6.886,1.3980000000000001,0.29100000000000004,2018,6.892,1.433,0.28,2019,6.939599991000001,1.37398684,0.298143059,2020,6.9510000000000005,1.5330000000000001,0.252,2021
15,Brazil,6.983,0.98124,0.14574,2015,6.952000000000001,1.08754,0.15775999999999998,2016,6.6350002288818395,1.1073532104492199,0.16234989464282998,2017,6.419,0.986,0.11,2018,6.3,1.004,0.099,2019,6.375599861,0.952679873,0.131674588,2020,6.33,1.028,0.142,2021
16,Luxembourg,6.946000000000001,1.5639100000000001,0.28034000000000003,2015,6.871,1.6975200000000001,0.27571,2016,6.86299991607666,1.74194359779358,0.283180981874466,2017,6.91,1.5759999999999998,0.196,2018,7.09,1.609,0.19399999999999998,2019,7.2375001910000005,1.536676049,0.19595392,2020,7.324,1.751,0.166,2021
17,Ireland,6.94,1.33596,0.45901000000000003,2015,6.907,1.4834100000000001,0.44963000000000003,2016,6.9770002365112305,1.5357066392898602,0.42785832285881,2017,6.977,1.4480000000000002,0.307,2018,7.021,1.499,0.298,2019,7.093699932000001,1.446886778,0.295426995,2020,7.085,1.6440000000000001,0.23800000000000002,2021
18,Belgium,6.937,1.30782,0.2225,2015,6.928999999999999,1.42539,0.2424,2016,6.89099979400635,1.4637807607650801,0.23150333762168898,2017,6.9270000000000005,1.324,0.188,2018,6.922999999999999,1.3559999999999999,0.16,2019,6.863500117999999,1.2958427670000001,0.146966159,2020,6.834,1.463,0.08800000000000001,2021
19,United Arab Emirates,6.901,1.42727,0.26428,2015,6.5729999999999995,1.57352,0.26591,2016,6.6479997634887695,1.6263433694839498,0.3609419465065,2017,6.774,2.096,0.18600000000000003,2018,6.825,1.5030000000000001,0.262,2019,6.790800095,1.4310864209999998,0.28065598,2020,6.561,1.555,0.23600000000000002,2021
20,United Kingdom,6.867000000000001,1.26637,0.51912,2015,6.725,1.40283,0.50156,2016,6.71400022506714,1.44163393974304,0.492774158716202,2017,7.19,1.244,0.262,2018,7.053999999999999,1.3330000000000002,0.348,2019,7.164500237,1.273061037,0.37343344100000003,2020,7.064,1.423,0.34,2021
