,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
51,Peru,Latin America and Caribbean,5.824,0.90019,0.14982,0.05989,5.743,0.99602,0.14527,0.05292,5.715000153,1.035225272,0.126819715,0.047049087,5.663,0.934,0.092,0.034,5.697,0.96,0.083,0.027,5.796800137,0.91854918,0.091611817,0.893714964,5.84,0.986,0.087,0.891
52,Belarus,Central and Eastern Europe,5.813,1.03192,0.11046,0.1909,5.802,1.13062,0.13942,0.17457,5.568999767,1.15655756,0.155137509,0.156313822,5.483,1.039,0.101,0.154,5.323,1.067,0.094,0.142,5.539899826,1.018854499,0.08993306,0.63571167,5.534,1.124,0.07,0.627
53,Poland,Central and Eastern Europe,5.791,1.12555,0.16759,0.04212,5.835,1.24585,0.14443,0.055,5.97300005,1.291787863,0.158465967,0.059307806,6.123,1.176,0.108,0.064,6.182,1.206,0.117,0.05,6.186299801,1.16922915,0.063374244,0.686927021,6.166,1.309,0.08,0.735
54,Malaysia,Southeastern Asia,5.77,1.12486,0.33075,0.10501,6.005,1.25142,0.41474,0.09081,6.084000111,1.29121542,0.41660893,0.065600708,6.322,1.161,0.311,0.059,5.339,1.221,0.26,0.024,5.384300232,1.168421626,0.274886161,0.839302301,5.384,1.259,0.27,0.839
55,Croatia,Central and Eastern Europe,5.759,1.08254,0.05444,0.0243,5.488,1.18649,0.18434,0.04002,5.293000221,1.222556233,0.248002976,0.04310311,5.321,1.115,0.12,0.039,5.432,1.155,0.119,0.022,5.504700184,1.109024286,0.113998979,0.916495264,5.882,1.251,0.111,0.939
56,Libya,Middle East and Northern Africa,5.754,1.13145,0.18295,0.11023,5.615,1.06688,0.17087,0.10339,5.525000095,1.101803064,0.152073666,0.09261021,5.566,0.985,0.116,0.148,5.525,1.044,0.133,0.152,5.488800049,1.021913767,0.142757699,0.668779135,5.41,1.044,0.131,0.667
57,Russia,Central and Eastern Europe,5.716,1.13764,0.00199,0.03005,5.856,1.23228,0.02736,0.03586,5.962999821,1.281778097,0.052263822,0.032962881,5.81,1.151,0.065,0.025,5.648,1.183,0.082,0.031,5.546000004,1.126999617,0.099041916,0.864802599,5.477,1.241,0.115,0.845
58,Jamaica,Latin America and Caribbean,5.709,0.81038,0.2123,0.02299,5.51,0.89333,0.22245,0.04294,5.31099987,0.925579309,0.233818337,0.055267781,5.89,0.819,0.096,0.031,5.89,0.831,0.107,0.028,5.889800072,0.779058397,0.116268493,0.888890028,6.309,0.891,0.099,0.884
59,Cyprus,Western Europe,5.689,1.20813,0.30638,0.06146,5.546,1.31857,0.27906,0.05228,5.620999813,1.355938077,0.271254301,0.041237976,5.762,1.229,0.202,0.035,6.046,1.263,0.19,0.041,6.15899992,1.21279943,0.227932334,0.856271744,6.223,1.377,0.178,0.844
60,Algeria,Middle East and Northern Africa,5.605,0.93929,0.07822,0.17383,6.355,1.05266,0.07044,0.16157,5.872000217,1.091864467,0.069436647,0.14609611,5.295,0.979,0.055,0.135,5.211,1.002,0.073,0.114,5.005099773,0.943856001,0.118915014,0.735485137,4.887,0.946,0.144,0.752
61,Kosovo,Central and Eastern Europe,5.589,0.80148,0.2831,0.04741,5.401,0.90145,0.27992,0.06547,5.278999805,0.951484382,0.319931448,0.057471618,5.662,0.855,0.274,0.023,6.1,0.882,0.262,0.006,6.325200081,0.840481341,0.325286865,0.922328293,6.372,0.937,0.356,0.917
62,Turkmenistan,Central and Eastern Europe,5.548,0.95847,0.16979,0.30844,5.658,1.08017,0.22567,0.28467,5.822000027,1.130776763,0.249924988,0.25927034,5.636,1.016,0.199,0.037,5.247,1.052,0.244,0.028,5.119100094,1.008963585,0.323129326,0.883691847,5.066,1.046,0.366,0.888
63,Mauritius,Sub-Saharan Africa,5.477,1.00761,0.37744,0.07521,5.648,1.14372,0.36951,0.05203,5.629000187,1.189395547,0.360933751,0.042181555,5.891,1.09,0.245,0.05,5.888,1.12,0.215,0.06,6.101299763,1.07366395,0.186894551,0.805343091,6.049,1.178,0.153,0.789
